Player,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Jonjoe Kenny,DF,Everton,0.9,1,0,1,0,0,11,1,9.1,4,4,3,2,0,0,2,1,2,1,0
Reda Khadra,FW,Brighton,0.1,0,0,0,0,0,1,1,100,0,0,1,0,0,0,0,0,0,0,0
Max Kilman,DF,Wolves,12.5,25,18,19,3,3,123,40,32.5,86,31,6,15,6,0,9,13,38,43,0
Joshua King,"MF,FW",Everton,1.4,2,1,0,0,2,30,7,23.3,7,13,10,3,0,0,3,1,3,1,0
Mateusz Klich,MF,Leeds United,23.4,45,36,17,22,6,501,150,29.9,110,282,109,20,4,0,16,13,58,19,0
Robin Koch,DF,Leeds United,10.1,20,13,13,7,0,123,33,26.8,68,53,2,24,11,0,13,7,27,29,2
Sead Kolasinac,DF,Arsenal,1,0,0,0,0,0,3,1,33.3,0,2,1,0,0,0,0,0,0,0,0
Ezri Konsa,DF,Aston Villa,26.5,22,15,16,5,1,158,54,34.2,91,58,9,45,34,0,11,14,36,136,0
Cheikhou Kouyate,DF,Crystal Palace,26.7,52,27,40,10,2,247,76,30.8,170,64,13,45,22,0,23,25,77,132,2
Mateo Kovacic,MF,Chelsea,17.9,47,30,19,23,5,281,95,33.8,82,141,58,13,1,0,12,19,66,11,1
Emil Krafth,DF,Newcastle Utd,10.5,24,17,14,9,1,138,47,34.1,71,50,17,23,6,0,17,15,39,42,1
Alexandre Lacazette,FW,Arsenal,19,23,17,6,11,6,300,98,32.7,39,126,135,16,2,0,14,13,36,11,0
Adam Lallana,"MF,FW",Brighton,14.2,24,20,13,9,2,251,83,33.1,83,113,55,21,3,0,18,13,37,13,0
Erik Lamela,"FW,MF",Tottenham,7,14,9,0,10,4,152,39,25.7,27,82,43,7,1,0,6,4,18,1,0
Tariq Lamptey,DF,Brighton,9.8,17,10,9,6,2,124,41,33.1,49,53,22,15,1,0,14,13,30,17,0
Manuel Lanzini,"MF,FW",West Ham,4.5,4,4,0,3,1,81,28,34.6,20,39,22,12,0,0,12,5,9,3,0
Aymeric Laporte,DF,Manchester City,12.4,12,6,8,3,1,66,22,33.3,39,22,5,16,7,0,9,8,20,46,0
Jamaal Lascelles,DF,Newcastle Utd,18.1,19,12,11,6,2,150,52,34.7,89,53,8,39,18,2,21,15,34,108,1
Maxime Le Marchand,DF,Fulham,1.4,2,1,2,0,0,9,2,22.2,6,2,1,0,0,0,0,0,2,7,0
Mario Lemina,MF,Fulham,14.1,37,25,17,13,7,242,75,31,86,118,38,22,4,0,18,32,69,27,0
Bernd Leno,GK,Arsenal,28.8,0,0,0,0,0,3,2,66.7,3,0,0,1,0,0,1,0,0,0,0
Khanya Leshabela,MF,Leicester City,0.1,1,0,0,1,0,4,0,0,0,2,2,0,0,0,0,0,1,0,0
Jamal Lewis,DF,Newcastle Utd,20.3,50,26,34,14,2,331,81,24.5,178,119,34,35,7,0,28,20,70,33,1
Victor Lindelof,DF,Manchester Utd,22.7,18,11,11,7,0,141,49,34.8,85,50,6,35,17,0,18,18,36,102,0
Jesse Lingard,"MF,FW",West Ham,7.8,8,6,4,3,1,164,39,23.8,29,102,33,4,0,0,4,7,15,0,0
Jake Livermore,MF,West Brom,13.6,29,19,10,17,2,241,66,27.4,73,131,37,33,7,0,26,19,48,32,0
Diego Llorente,DF,Leeds United,7,26,20,15,11,0,132,52,39.4,75,55,2,6,2,0,4,20,46,36,0
Hugo Lloris,GK,Tottenham,30,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,1
Giovani Lo Celso,MF,Tottenham,6.6,19,11,10,6,3,181,51,28.2,61,86,34,7,1,0,6,2,21,6,0
Ruben Loftus-Cheek,"MF,FW",Fulham,19.4,30,21,11,14,5,310,92,29.7,60,161,89,22,2,0,20,20,50,15,0
Ruben Loftus-Cheek,FW,Chelsea,0.7,0,0,0,0,0,14,4,28.6,3,7,4,1,0,0,1,1,1,0,0
Kevin Long,DF,Burnley,7.1,14,8,10,4,0,53,20,37.7,34,18,1,9,5,0,4,4,18,31,0
Shane Long,"FW,MF",Southampton,2.3,2,0,0,0,2,34,7,20.6,2,19,13,1,0,0,1,2,4,1,0
Matthew Longstaff,MF,Newcastle Utd,4.2,4,3,4,0,0,98,25,25.5,30,58,10,9,0,0,9,6,10,3,0
Sean Longstaff,MF,Newcastle Utd,10.3,20,11,7,10,3,241,64,26.6,103,107,31,18,1,0,17,12,32,13,1
Ademola Lookman,"FW,MF",Fulham,25.8,32,25,9,18,5,433,134,30.9,86,200,147,35,1,0,34,23,55,9,0
Max Lowe,DF,Sheffield Utd,6.1,23,14,20,2,1,130,37,28.5,60,51,19,21,3,0,18,3,26,12,1
Matthew Lowton,DF,Burnley,26,57,30,30,25,2,221,63,28.5,97,95,29,48,8,0,40,41,98,83,2
David Luiz,DF,Arsenal,14.9,14,9,7,7,0,92,36,39.1,49,38,5,23,11,0,12,12,26,66,0
Douglas Luiz,MF,Aston Villa,24.1,51,36,21,27,3,415,110,26.5,155,211,49,47,16,0,31,24,75,40,0
John Lundstram,MF,Sheffield Utd,21.3,25,11,8,14,3,328,71,21.6,100,163,65,39,8,0,31,20,45,32,1
Alexis Mac Allister,"MF,FW",Brighton,9.5,22,16,9,10,3,191,67,35.1,52,85,54,17,2,0,15,7,29,4,0
James Maddison,"MF,FW",Leicester City,18.3,28,20,4,13,11,276,70,25.4,50,139,87,12,1,0,11,10,38,6,0
Harry Maguire,DF,Manchester Utd,30,25,14,17,8,0,163,55,33.7,94,64,5,38,22,0,16,55,80,158,1
Riyad Mahrez,FW,Manchester City,19,20,15,3,9,8,213,53,24.9,20,91,102,21,0,0,21,4,24,3,0
Ainsley Maitland-Niles,MF,West Brom,8,15,9,7,5,3,193,61,31.6,54,93,46,12,0,0,12,13,28,14,0
Ainsley Maitland-Niles,DF,Arsenal,5.4,17,11,9,6,2,113,25,22.1,48,44,21,13,3,0,10,13,30,12,1
Josh Maja,FW,Fulham,6.2,3,2,0,1,2,66,19,28.8,2,29,35,4,0,0,4,3,6,1,0
Sadio Mane,FW,Liverpool,25.1,32,26,7,16,9,352,125,35.5,46,119,187,33,2,0,31,14,46,6,0
Javier Manquillo,DF,Newcastle Utd,9.2,28,14,10,14,4,124,33,26.6,44,46,34,17,2,0,15,8,36,21,0
Fernando Marcal,DF,Wolves,6.8,9,4,5,4,0,63,19,30.2,30,22,11,19,2,0,17,7,16,23,0
Solly March,DF,Brighton,18.6,56,35,29,18,9,240,71,29.6,86,84,70,50,6,0,44,19,75,16,0
Pablo Marí,DF,Arsenal,7,12,10,9,3,0,48,22,45.8,31,16,1,10,5,0,5,3,15,46,0
Anthony Martial,FW,Manchester Utd,16.4,1,1,0,0,1,146,42,28.8,13,38,95,22,5,0,17,4,5,9,0
Martinelli,FW,Arsenal,2.6,4,1,1,2,1,54,5,9.3,9,16,29,2,0,0,2,6,10,3,0
Emiliano Martínez,GK,Aston Villa,29,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1
Arthur Masuaku,DF,West Ham,10.2,19,13,14,4,1,116,38,32.8,68,34,14,30,0,0,30,4,23,14,0
Juan Mata,FW,Manchester Utd,3.8,2,2,1,1,0,42,10,23.8,9,13,20,2,0,0,2,0,2,2,0
Jean-Philippe Mateta,FW,Crystal Palace,2,1,1,0,1,0,28,3,10.7,2,16,10,2,1,0,1,1,2,2,0
Nemanja Matic,MF,Manchester Utd,10.2,21,12,12,8,1,138,42,30.4,59,68,11,27,4,0,23,9,30,13,0
Joel Matip,DF,Liverpool,7.7,14,10,10,4,0,58,24,41.4,35,20,3,7,0,0,7,4,18,28,0
Neal Maupay,"FW,MF",Brighton,23.8,19,13,5,9,5,383,119,31.1,58,151,174,16,2,0,14,10,29,9,0
James McArthur,MF,Crystal Palace,16.3,56,26,29,22,5,378,102,27,159,182,37,39,4,0,35,23,79,25,0
Oliver McBurnie,FW,Sheffield Utd,14.5,13,7,6,5,2,295,61,20.7,24,161,110,17,4,0,13,8,21,25,0
Alex McCarthy,GK,Southampton,25,0,0,0,0,0,4,1,25,4,0,0,0,0,0,0,0,0,3,2
James McCarthy,MF,Crystal Palace,6,11,5,9,2,0,111,27,24.3,50,54,7,16,7,0,9,7,18,8,0
John McGinn,MF,Aston Villa,28,59,38,20,32,7,432,118,27.3,129,231,72,30,4,0,26,32,91,27,2
David McGoldrick,"FW,MF",Sheffield Utd,19,21,12,5,9,7,307,80,26.1,49,129,129,28,2,0,26,12,33,15,0
Dwight McNeil,MF,Burnley,26.7,30,16,10,16,4,451,102,22.6,106,234,111,49,5,0,44,28,58,20,1
Scott McTominay,MF,Manchester Utd,18,32,20,19,10,3,252,81,32.1,92,123,37,47,12,0,35,28,60,38,0
Ben Mee,DF,Burnley,22.9,26,16,14,10,2,114,31,27.2,67,39,8,49,33,1,16,17,43,188,1
Benjamin Mendy,DF,Manchester City,7.7,11,7,3,5,3,77,24,31.2,21,32,24,16,3,0,13,3,14,10,1
Edouard Mendy,GK,Chelsea,25,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1
Nampalys Mendy,MF,Leicester City,15.3,33,21,18,13,2,244,76,31.1,98,110,36,20,2,0,18,7,40,7,0
Illan Meslier,GK,Leeds United,29,0,0,0,0,0,4,1,25,4,0,0,0,0,0,0,0,0,0,2
Luka Milivojevic,MF,Crystal Palace,21.6,55,37,23,27,5,399,113,28.3,168,189,42,38,5,0,33,32,87,44,0
James Milner,"MF,DF",Liverpool,9.3,18,13,6,11,1,139,46,33.1,32,82,25,31,3,0,28,13,31,17,1
Yerry Mina,DF,Everton,19.2,22,11,17,5,0,129,38,29.5,87,40,2,31,21,0,10,11,33,114,1
Takumi Minamino,"MF,FW",Southampton,4.6,2,1,1,1,0,56,16,28.6,16,27,13,5,0,0,5,4,6,6,0
Takumi Minamino,"MF,FW",Liverpool,3.3,4,3,1,2,1,82,25,30.5,19,41,22,0,0,0,0,0,4,3,0
Tyrone Mings,DF,Aston Villa,27.5,21,13,16,4,1,173,49,28.3,93,64,16,56,32,1,24,18,39,174,3
Tyrick Mitchell,DF,Crystal Palace,13,51,21,36,7,8,273,66,24.2,188,55,30,30,2,0,28,18,69,44,1
Aleksandar Mitrovic,FW,Fulham,13.5,10,8,1,4,5,166,63,38,11,58,97,17,4,0,13,3,13,6,0
Jakub Moder,DF,Brighton,2.1,6,3,2,2,2,43,12,27.9,14,13,16,4,0,0,4,3,9,2,0
Jayson Molumby,MF,Brighton,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Wes Morgan,DF,Leicester City,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Mason Mount,"MF,FW",Chelsea,25.3,65,42,24,29,12,534,169,31.6,121,252,161,36,1,0,35,31,96,13,0
Lucas Moura,"FW,MF",Tottenham,13,28,18,10,14,4,209,50,23.9,60,96,53,15,0,0,15,16,44,10,0
Lys Mousset,"FW,MF",Sheffield Utd,2.9,0,0,0,0,0,52,10,19.2,1,21,30,1,1,0,0,0,0,1,0
